"last","first","middle","TITLE","ORCID"
"Kovacs","Marton",NA,"a multisite collaborative study of the hostile priming effect",NA
"Lair","Elicia","C.","a multisite collaborative study of the hostile priming effect",NA
"Légal","Jean-Baptiste",NA,"a multisite collaborative study of the hostile priming effect",NA
"Leighton","Dana","C.","a multisite collaborative study of the hostile priming effect",NA
"Magee","Michael","W.","a multisite collaborative study of the hostile priming effect",NA
"Markman","Keith",NA,"a multisite collaborative study of the hostile priming effect",NA
"Martončik","Marcel",NA,"a multisite collaborative study of the hostile priming effect",NA
"Müller","Martin",NA,"a multisite collaborative study of the hostile priming effect",NA
"Norman","Jasmine","B.","a multisite collaborative study of the hostile priming effect",NA
"Oyler","Danielle",NA,"a multisite collaborative study of the hostile priming effect",NA
"Phills","Curtis","E.","a multisite collaborative study of the hostile priming effect",NA
"Rohain","Alia",NA,"a multisite collaborative study of the hostile priming effect",NA
"Sakaluk","John",NA,"a multisite collaborative study of the hostile priming effect",NA
"Schütz","Astrid",NA,"a multisite collaborative study of the hostile priming effect",NA
"Toribio-Flórez","Daniel",NA,"a multisite collaborative study of the hostile priming effect",NA
"Tsang","Jo-Ann",NA,"a multisite collaborative study of the hostile priming effect",NA
"Vezzoli","Michela",NA,"a multisite collaborative study of the hostile priming effect",NA
"Williams","Caitlin",NA,"a multisite collaborative study of the hostile priming effect",NA
"Willis","Guillermo","B.","a multisite collaborative study of the hostile priming effect",NA
"Young","Jason",NA,"a multisite collaborative study of the hostile priming effect",NA
"Zogmaister","Cristina",NA,"a multisite collaborative study of the hostile priming effect",NA
"Holzer","Julia",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Korlat","Selma",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Haider","Christian",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Mayerhofer","Martin",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Pelikan","Elisabeth",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Schober","Barbara",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Spiel","Christiane",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Toumazi","Toumazis",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Salmela-Aro","Katariina",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Käser","Udo",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Schultze-Krumbholz","Anja",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Wachs","Sebastian",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Dabas","Mukul",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Verma","Suman",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Iliev","Dean",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Andonovska-Trajkovska","Daniela",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Plichta","Piotr",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Pyżalski","Jacek",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
"Walter","Natalia",NA,"adolescent wellbeing and learning in times of covid19a multicountry study of basic psychological need satisfaction learning behavior and the mediating roles of positive emotion and intrinsic motivation",NA
