"title","author","journal","number","cites","year","cid","pubid","scholar"
"familial and individual reasons for student dropout  schools  perception","M Videnović, LB Lazarević","Psihološka istraživanja","20 (1), 71-88",14,2017,"17951789912838741912","QIV2ME_5wuYC","KwhxST8AAAAJ&hl=en&oi=sra"
"development of serbian dictionary for automatic text analysis  liwcser ","J Bjekić, LB Lazarević, M Erić, E Stojimirović, T Đokić","Psihološka istraživanja","15 (1), 85-110",14,2012,"15768988861780709324,12876406481241095331","M3ejUd6NZC8C","KwhxST8AAAAJ&hl=en&oi=sra"
"relations between lexical and biological perspectives on personality  new evidence based on hexaco and affective neuroscience theory","G Knezevic, LB Lazarevic, C Montag, K Davis","Journal of Personality Assessment","",13,2020,"14737455165591730","blknAaTinKkC","KwhxST8AAAAJ&hl=en&oi=sra"
"militant extremist mindset in post conflict regions of the balkans","L Stankov, G Knežević, B Petrović, J Međedović, LB Lazarević","Journal for Deradicalization","185-218",12,2019,"8018927606946204669","70eg2SAEIzsC","KwhxST8AAAAJ&hl=en&oi=sra"
"application of fit indices in testing the theoretical models in psychology  possibilities and limitations","L Lazarević","Zbornik Instituta za pedagoska istrazivanja","40 (1), 101-121",12,2008,"3715462505480066740,7251153727306263992","u5HHmVD_uO8C","KwhxST8AAAAJ&hl=en&oi=sra"
"pisa 2012 mathematics literacy in serbia  a multilevel analysis of students and schools","LB Lazarevic, A Orlic","Psihologija, https://doi.org/","/10.2298/PSI170817017L",11,2018,"7126489540401698900","j3f4tGmQtD8C","KwhxST8AAAAJ&hl=en&oi=sra"
"predictors of students  self esteem  the importance of body self perception and exercise","LB Lazarević, D Lazarević, A Orlić","Psihološka istraživanja","20 (2), 239-254",11,2017,"327787798726639385","7PzlFSSx8tAC","KwhxST8AAAAJ&hl=en&oi=sra"
"dropout as a result of education with no space for diversity","K Krstić, LB Lazarević, IS Ilić","Open spaces for interactions and learning diversities","127-136",11,2016,"6911354712251532031","4TOpqqG69KYC","KwhxST8AAAAJ&hl=en&oi=sra"
"odustajanje od školovanja analiza studija slučaja iz ugla ekološkog pristupa","I Stepanović Ilić, M Videnović, L Lazarević","Nastava i vaspitanje","64 (3), 453-468",11,2015,"12811717804470738326,12353714278286220008","ufrVoPGSRksC","KwhxST8AAAAJ&hl=en&oi=sra"
"data from the human penguin project  a cross national dataset testing social thermoregulation principles","CP Hu, JX Yin, S Lindenberg, İ Dalğar, SC Weissgerber, RC Vergara, ...","Scientific data","6 (1), 1-7",10,2019,"8453316956297768311,17111600805313807725","35N4QoGY0k4C","KwhxST8AAAAJ&hl=en&oi=sra"
"development and empirical evaluation of the homophobia scale","M Živanović, T Đokić, LB Lazarević, A Orlić, J Bjekić","Primenjena psihologija","7 (4), 581-598",10,2014,"14522693933096857029,15880285983801246958,10392433663875860831","ldfaerwXgEUC","KwhxST8AAAAJ&hl=en&oi=sra"
"personality traits of young gifted rhythmic gymnasts ","LB Lazarević, B Petrović, K Damnjanović","Facta Universitatis: Series Physical Education and Sport","10 (2), 115-126",10,2012,"14399942630395247014,408539173525078369","roLk4NBRz8UC","KwhxST8AAAAJ&hl=en&oi=sra"
"disintegration as an additional trait in the psychobiological model of personality   assessing discriminant validity via meta analysis","LB Lazarevic, M Bosnjak, G Knezevic, B Petrovic, D Puric, P Teovanovic, ...","Zeitschrift für Psychologie, Hotspots in Psychology","224 (DOI: 10.1027/2151 …",9,2016,"9431578920277958487,11638222590198139540","_kc_bZDykSQC","KwhxST8AAAAJ&hl=en&oi=sra"
"a global experiment on motivating social distancing during the covid 19 pandemic","N Legate, TT Nguyen, N Weinstein, AC Moller, L Legault, MR Maniaci, ...","Proceedings of the National Academy of Sciences","",8,2022,"9460422159397258094","geHnlv5EZngC","KwhxST8AAAAJ&hl=en&oi=sra"
"tears evoke the intention to offer social support  a systematic investigation of the interpersonal effects of emotional crying across 41 countries","JH Zickfeld, N van de Ven, O Pich, TW Schubert, JB Berkessel, JJ Pizarro, ...","Journal of Experimental Social Psychology","95, 104137",8,2021,"44843934885036500","l7t_Zn2s7bgC","KwhxST8AAAAJ&hl=en&oi=sra"
"prospects of implicit measures in assessment of defensive function of explicit homophobia in heterosexuals","L Lazarević, A Orlić, G Knežević","Psihologija","48 (1), 79-95",8,2015,"8757374990617599738","eQOLeE2rZwMC","KwhxST8AAAAJ&hl=en&oi=sra"
"sociopsychological correlates of militant extremist beliefs in a postconflict society  the importance of ethnocentrism and quality of interethnic contacts","L Stankov, J Međedović, LB Lazarević, B Petrović, G Knežević","Group Processes & Intergroup Relations","23 (8), 1249-1266",7,2020,"13126136925915418479","uWQEDVKXjbEC","KwhxST8AAAAJ&hl=en&oi=sra"
"a serbian version of the anps and its link to the five factor model of personality","C Montag, KL Davis, LB Lazarevic, G Knezevic","Open Psychology","1 (1), 303-316",7,2019,"1432593986632026695","g5m5HwL7SMYC","KwhxST8AAAAJ&hl=en&oi=sra"
"does distance from the equator predict self control  lessons from the human penguin project","H IJzerman, MV Čolić, M Hennecke, Y Hong, CP Hu, J Joy-Gaba, ...","Behavioral and Brain Sciences","40",6,2017,"2204778299297148521","qxL8FJ1GzNcC","KwhxST8AAAAJ&hl=en&oi=sra"
"ambulatory assessment of language use  evidence on the temporal stability of electronically activated recorder and stream of consciousness data","LB Lazarević, J Bjekić, M Živanović, G Knežević","Behavior Research Methods","1-19",5,2020,"9743505472418316757","zA6iFVUQeVQC","KwhxST8AAAAJ&hl=en&oi=sra"
"psychometric properties of the serbian version of the wechsler adult intelligence scale  wais iv ","LB Lazarević, G Knežević, M Mitić, DĐ Jočić","Psihologija, https://doi.org/","/10.2298/PSI171001001L",5,2018,"4573718860640936874","_Qo2XoVZTnwC","KwhxST8AAAAJ&hl=en&oi=sra"
"social factors outside of family and school related to student dropout","I Stepanović-Ilić, LB Lazarević, N Simić","Psihološka istraživanja","20 (1), 89-105",5,2017,"5533880111325813068,497335601313210821","9ZlFYXVOiuMC","KwhxST8AAAAJ&hl=en&oi=sra"
"how open science norms improve scientific practices","LB Lazarević, I Žeželj","","",4,2018,"52108234420536516","GnPB-g6toBAC","KwhxST8AAAAJ&hl=en&oi=sra"
"physical self concept of normal weight and overweight adolescents  gender specificities","D Lazarević, S Radisavljević-Janić, I Milanović, LB Lazarević","Zbornik Instituta za pedagoska istrazivanja","43 (2), 347-365",4,2011,"15826724555820104771","2osOgNQ5qMEC","KwhxST8AAAAJ&hl=en&oi=sra"
"proneness to psychotic like experiences as a basic personality trait complementing the hexaco model   a preregistered cross national study","G Knezevic, LB Lazarevic, M Bosnjak, J Keller","Personality and Mental Health","",3,2022,"6692080632690883414","mvPsJ3kp5DgC","KwhxST8AAAAJ&hl=en&oi=sra"
"the role of personality  conspiracy mentality  rebt irrational beliefs  and adult attachment in covid 19 related health behaviors","S Stankovic, LB Lazarevic, G Knezevic","Studia Psychologica","64, 26-44",3,2022,"11975182049889716734","eJXPG6dFmWUC","KwhxST8AAAAJ&hl=en&oi=sra"
"many labs 5  registered replication of lobue and deloache  2008 ","LB Lazarević, D Purić, I Žeželj, R Belopavlović, B Bodroža, MV Čolić, ...","Advances in Methods and Practices in Psychological Science","3 (3), 377-386",3,2020,"14663729999735818238","P5F9QuxV20EC","KwhxST8AAAAJ&hl=en&oi=sra"
"implicit assessment  paradigm of implicit measurement in the field of individual differences","LB Lazarević, A Orlić","Institute of psychology, and Faculty of sport and physical education …","",3,2015,"5517345506043523601","maZDTaKrznsC","KwhxST8AAAAJ&hl=en&oi=sra"
"situational factors shape moral judgments in the trolley dilemma in eastern  southern  and western countries in a culturally diverse sample","B Bago, M Kovacs, J Protzko, T Nagy, Z Kekecs, B Palfi, M Adamkovic, ...","Nature Human Behaviour, In Press","",2,2022,"1405145341400898877,16408428188965588572,6996259124573258069","9vf0nzSNQJEC","KwhxST8AAAAJ&hl=en&oi=sra"
"mental health in the second year of the covid 19 pandemic  protocol for a nationally representative multilevel survey in serbia","NP Marić, LB Lazarević, L Mihić, MP Milovancevic, Z Terzić, O Tošković, ...","BMJ open","11 (9), e053835",2,2021,"8131413151216337387,6775365341134795314","BrmTIyaxlBUC","KwhxST8AAAAJ&hl=en&oi=sra"
"i enjoy hurting my classmates  on the relation of boredom and sadism in schools","S Pfattheicher, LB Lazarević, YA Nielsen, E Westgate, K Krstic, ...","PsyArXiv","",2,2021,"13451352130858851782","tOudhMTPpwUC","KwhxST8AAAAJ&hl=en&oi=sra"
"many labs 5  registered replication of shnabel and nadler  2008   study 4","E Baranski, E Baskin, S Coary, CR Ebersole, LE Krueger, LB Lazarević, ...","Advances in Methods and Practices in Psychological Science","3 (3), 405-417",1,2020,"6673382054202596704","CHSYGLWDkRkC","KwhxST8AAAAJ&hl=en&oi=sra"
"effects of violent video stimuli on gastric activity  electrogastrography based case study","NB Popović, N Miljković, G Knežević, LB Lazarević","Empirical Studies in Psychology","33",1,2020,"10175567768804841414","AXPGKjj_ei8C","KwhxST8AAAAJ&hl=en&oi=sra"
"seven factor model of personality space evidence from a cross cultural study","G Knežević, LB Lazarevic, M Bosnjak","","",1,2018,"5971742896308556772,16622154541690319495","YFjsv_pBGBYC","KwhxST8AAAAJ&hl=en&oi=sra"
"how implicit components influence explicit attitudes towards homosexuality ","LB Lazarević, A Orlic, G Knežević","Personality and Individual differences","60, S58",1,2014,"6466502890381233352","0EnyYjriUFMC","KwhxST8AAAAJ&hl=en&oi=sra"
"psychological roots of questionable health practices","LB Lazarević, I Zezelj","Studia Psychologica","64 (1), 3-7",0,2022,NA,"ye4kPcJQO24C","KwhxST8AAAAJ&hl=en&oi=sra"
"how are parental practices and attitudes towards corporal punishment related to child academic  developmental  or psychological emotional dysfunctioning ","R Grujicic, O Toskovic, L Lazarevic, VM Maravic, MM Voncina, ...","","",0,2022,NA,"SdhP9T11ey4C","KwhxST8AAAAJ&hl=en&oi=sra"
"the role of narcissism  hexaco  and disintegration in conspiracy beliefs","G Knežević","PsychArchives","",0,2022,NA,"NMxIlDl6LWMC","KwhxST8AAAAJ&hl=en&oi=sra"
"covid 19 related stressors and mental disorders and distress  a cross sectional  nationally representative  face to face survey in serbia","NP Maric, LB Lazarevic, S Priebe, L Mihic, M Pejovic Milovancevic, ...","Epidemiology and Psychiatric Sciences","",0,2022,NA,"LjlpjdlvIbIC","KwhxST8AAAAJ&hl=en&oi=sra"
"the meaning of momentary psychotic like experiences in a non clinical sample  a personality perspective","G Knezevic, LB Lazarevic, A Zoric","PLoS ONE","",0,2022,NA,"5awf1xo2G04C","KwhxST8AAAAJ&hl=en&oi=sra"
"gender equality and maternal burnout  a 40 country study","I Roskam, L Gallée, J Aguiar, E Akgun, A Arena, G Arikan, K Aunola, ...","Journal of Cross-Cultural Psychology","",0,2022,NA,"tkaPQYYpVKoC","KwhxST8AAAAJ&hl=en&oi=sra"
"the relationship between closed mindedness and militant extremism in a post conflict society","G Knezevic, LB Lazarevic, J Međedović, B Petrović, L Stankov","Aggressive Behavior","",0,2022,NA,"B3FOqHPlNUQC","KwhxST8AAAAJ&hl=en&oi=sra"
"multitrait multimethod validation of implicit association test as a measure of individual differences in personality  is there personality at all ","LB Lazarević, J Bjekić, G Knežević","Journal of Research in Personality","93, 104124",0,2021,NA,"LPZeul_q3PIC","KwhxST8AAAAJ&hl=en&oi=sra"
"does the disposition towards psychotic like experiences incrementally predict grandiose narcissism  representative evidence from germany","LB Lazarević, G Knežević, M Bosnjak","Current Psychology","1-12",0,2021,NA,"fQNAKQ3IYiAC","KwhxST8AAAAJ&hl=en&oi=sra"
"are asylum seekers more militant than domestic inhabitants  the case of serbia ","L Lazarevic, G Knezevic, MV Marković, J Međedović, B Petrović, ...","PsyArXiv","",0,2021,NA,"4fKUyHm3Qg0C","KwhxST8AAAAJ&hl=en&oi=sra"
"teaching research in principle and in practice  what do psychology instructors think of research projects in their courses ","J Wagge, MA Hurst, M Brandt, L Lazarevic, N Legate, J Grahe","PsyArXiv","",0,2021,NA,"K3LRdlH-MEoC","KwhxST8AAAAJ&hl=en&oi=sra"
"the research team of the cov2soul  rs project  reports the preliminary results on depressiveness in serbia  on the occasion of the world mental health day","NP Marić, G Knežević, Z Terzić-Šupić, L Mihić, M Pejović-Milovačević, ...","Srpski medicinski časopis Lekarske komore","2 (4), 337-341",0,2021,NA,"JoZmwDi-zQgC","KwhxST8AAAAJ&hl=en&oi=sra"
"relationship between electrocardiogram based features and personality traits  machine learning approach","T Boljanić, N Miljković, LB Lazarevic, G Knezevic, G Milašinović","Annals of Noninvasive Electrocardiology, e","e12919",0,2021,NA,"HE397vMXCloC","KwhxST8AAAAJ&hl=en&oi=sra"
"predictors of physical activity in early adolescence  the contribution of physical fitness and physical self concept ","SR Janić, LB Lazarević, D Lazarević, I Milanović","Physical Culture/Fizicka Kultura","74 (2)",0,2020,NA,"WqliGbK-hY8C","KwhxST8AAAAJ&hl=en&oi=sra"
"mplus code for  the disintegration trait as an extension of the hexaco personality model a preregistered cross national study ","G Knežević, LB Lazarević, M Bošnjak, J Keller","PsychArchives","",0,2020,NA,"cFHS6HbyZ2cC","KwhxST8AAAAJ&hl=en&oi=sra"
"dataset for  can the disposition toward psychotic like experiences contribute to understanding narcissism beyond the big five  evidence from a representative sample in germany","L Lazarevic, G Knežević, M Bosnjak","PsychArchives","",0,2020,NA,"fPk4N6BV_jEC","KwhxST8AAAAJ&hl=en&oi=sra"
"predictors of physical activity in early adolescence  the contribution of physical fitness and physical self concept","S Radisavljević-Janić, LB Lazarević, D Lazarević, I Milanović","Fizička kultura","74 (2), 140-151",0,2020,NA,"dTyEYWd-f8wC","KwhxST8AAAAJ&hl=en&oi=sra"
"repopsi  the open repository of psychological instruments in serbian","A Lazić, LB Lazarević, D Purić, I Žeželj","","",0,2020,NA,"b0M2c_1WBrUC","KwhxST8AAAAJ&hl=en&oi=sra"
"is the unattractiveness of human body an inversion of its attractiveness ","S Marković, T Bulut, L Lazarević","Perception","48, 25-25",0,2019,NA,"2P1L_qKh6hAC","KwhxST8AAAAJ&hl=en&oi=sra"
"socijalni faktori van porodice i škole povezani sa osipanjem","I Stepanović Ilić, L Lazarević, N Simić","Psihološka istraživanja","20 (1), 89-105",0,2017,NA,"5ugPr518TE4C","KwhxST8AAAAJ&hl=en&oi=sra"
"editorial hotspots in psychology  a new format for special issues of the zeitschrift fur psychologie","E Erdfelder, M Bošnjak, A Kuhberger, T Scherndl, B Ludwig, DM Simon, ...","Zeitschrift für Psychologie","224 (3)",0,2016,NA,"Y5dfb0dijaUC","KwhxST8AAAAJ&hl=en&oi=sra"
"moderatorska uloga pola u predikciji homofobije","A Orlić, LB Lazarević","Primenjena psihologija","8 (4), 433-451",0,2015,NA,"LkGwnXOMwfcC","KwhxST8AAAAJ&hl=en&oi=sra"
"prediction of non verbal behaviour  incremental validity of implicit measures ","LB Lazarević, G Knežević","Personality and individual differences","60, S40-S41",0,2014,NA,"hqOjcs7Dif8C","KwhxST8AAAAJ&hl=en&oi=sra"
"fizički self koncept adolescenata normalne i prekomerne telesne težine polne specifičnosti","D Lazarević, S Radisavljević-Janić, I Milanović, L Lazarević","Zbornik Instituta za pedagoška istraživanja","43 (2), 347-365",0,2011,NA,"bnK-pcrLprsC","KwhxST8AAAAJ&hl=en&oi=sra"
"session information","L Lazarevic, M Videnovic, IS Ilic","","",0,NA,NA,"eq2jaN3J8jMC","KwhxST8AAAAJ&hl=en&oi=sra"
"share on","E Amnå, M Anderatta, M Barrett, K Bernecker, M Bošnjak, K Bostwick, ...","Zeitschrift für Psychologie","225 (4",0,NA,NA,"5Ul4iDaHHb8C","KwhxST8AAAAJ&hl=en&oi=sra"
"many labs 5  registered replication u mmm of shnabel and nadler  2008   study 4 e author  s ","E Baranski, E Baskin, S Coary, CR Ebersole, LE Krueger, LB Lazarević, ...","","",0,NA,NA,"8AbLer7MMksC","KwhxST8AAAAJ&hl=en&oi=sra"
"as predicted preregistration","G Knežević, LB Lazarevic, M Bosnjak","","",0,NA,NA,"UxriW0iASnsC","KwhxST8AAAAJ&hl=en&oi=sra"
"the last line of defense  corrigenda and retractions","MC Kidwell, LB Lazarevic, E Baranski, TE Hardwicke, S Piechowski, ...","psychological science","12, 742-75",0,NA,NA,"1sJd4Hv_s6UC","KwhxST8AAAAJ&hl=en&oi=sra"
"odustajanje od školovanja  porodica kao deformativni kulturno potporni sistem","IS Ilić, LB Lazarević, K Krstić","EMPIRIJSKA ISTRAŽIVANJA U PSIHOLOGIJI","9",0,NA,NA,"O3NaXMp0MMsC","KwhxST8AAAAJ&hl=en&oi=sra"
"a double standard when group members behave badly  transgression credit to ingroup leaders ","D Abrams, G Randsley de Moura, GA Travaglino","Journal of personality and social psychology","105 (5), 799",118,2013,"6531878054081380313","d1gkVwhDpl0C","eARcZWMAAAAJ&hl=en&oi=sra"
"immigration  political trust  and brexit testing an aversion amplification hypothesis","D Abrams, GA Travaglino","British Journal of Social Psychology","57 (2), 310-326",73,2018,"2327558717551240798","pyW8ca7W8N0C","eARcZWMAAAAJ&hl=en&oi=sra"
"trust predicts covid 19 prescribed and discretionary behavioral intentions in 23 countries","S Pagliaro, S Sacchi, MG Pacilli, M Brambilla, F Lionetti, K Bettache, ...","PloS one","16 (3), e0248334",60,2021,"4045280022552538937","olpn-zPbct0C","eARcZWMAAAAJ&hl=en&oi=sra"
